feature,importance
ref_base_price,30.30667650508343
days_from_start,7.353188341653513
float_value,7.310193886481585
ref_quantity,6.6593830737972475
rarity,6.425275578143864
market_hash_name,6.367764822457678
sale_hour,5.488937467618644
ref_float_factor,5.066998469119229
paint_index,4.975709931835945
weapon_name,3.721745687930906
sale_dayofweek,3.5373597482870904
def_index,2.9199904059573387
paint_seed,2.64873740104478
wear_name,2.1092311579191008
sale_month,2.089142247810566
keychain_name,0.4414336807444447
has_keychain,0.43503917607547155
blue_gem,0.3904092355484994
fade_type,0.3591153080192477
keychain_id,0.3311110410633536
sale_year,0.24260383328477209
keychain_pattern,0.20110357438431836
ref_keychain_price,0.1704158429389735
keychain_ref_price,0.15169613081093636
has_fade,0.13715919474132612
fade_rank,0.10006181565206211
fade_pct,0.059516441595671626
is_souvenir,0.0
is_stattrak,0.0
has_blue_gem,0.0
